id,experiment,particle_type,x,y,z
0,TS_5_4,apo-ferritin,6201.075268817204,6247.8494623655915,638.6021505376344
1,TS_5_4,apo-ferritin,6219.867674858223,6226.767485822306,1491.9659735349717
2,TS_5_4,apo-ferritin,5491.940298507462,5114.477611940299,36.71641791044776
3,TS_5_4,apo-ferritin,5480.6741573033705,5279.775280898876,49.77528089887641
4,TS_5_4,apo-ferritin,5811.285714285714,4604.142857142857,251.2857142857143
5,TS_5_4,apo-ferritin,5769.565217391304,4644.782608695652,318.5869565217391
6,TS_5_4,apo-ferritin,5672.112676056338,4676.056338028169,120.0
7,TS_5_4,apo-ferritin,5526.319290465632,4826.164079822616,83.50332594235033
8,TS_5_4,apo-ferritin,5964.558823529413,4529.264705882353,51.76470588235294
9,TS_5_4,apo-ferritin,5959.746192893401,3995.279187817259,43.80710659898477
10,TS_5_4,apo-ferritin,5895.343915343915,4008.6243386243386,190.0
11,TS_5_4,apo-ferritin,6142.298850574713,815.4022988505747,7.35632183908046
12,TS_5_4,apo-ferritin,6075.86319218241,851.2540716612377,107.41042345276873
13,TS_5_4,apo-ferritin,5165.145631067961,6197.184466019417,42.13592233009709
14,TS_5_4,apo-ferritin,5219.662921348314,6250.112359550562,133.14606741573033
15,TS_5_4,apo-ferritin,4991.832946635731,6100.788863109048,96.75174013921114
16,TS_5_4,apo-ferritin,4930.540540540541,6154.594594594595,370.81081081081084
17,TS_5_4,apo-ferritin,4743.824701195219,6236.05577689243,160.35856573705178
18,TS_5_4,apo-ferritin,4829.411764705882,5921.470588235294,108.52941176470588
19,TS_5_4,apo-ferritin,5811.727272727272,5989.454545454546,39.36363636363637
20,TS_5_4,apo-ferritin,5753.262032085562,6190.106951871658,49.83957219251337
21,TS_5_4,apo-ferritin,5637.213114754099,5949.508196721312,29.42622950819672
22,TS_5_4,apo-ferritin,5466.465517241379,5811.465517241379,66.12068965517241
23,TS_5_4,apo-ferritin,5439.315068493151,5881.8493150684935,70.27397260273973
24,TS_5_4,apo-ferritin,5548.315789473683,5641.368421052632,40.8421052631579
25,TS_5_4,apo-ferritin,5420.967741935484,5729.677419354839,45.32258064516129
26,TS_5_4,apo-ferritin,5307.619047619048,5728.231292517007,141.42857142857142
27,TS_5_4,apo-ferritin,5214.603174603175,5742.222222222222,282.6984126984127
28,TS_5_4,apo-ferritin,5100.864197530865,5570.864197530864,43.456790123456784
29,TS_5_4,apo-ferritin,5077.912087912088,5638.571428571429,764.1758241758242
30,TS_5_4,apo-ferritin,6097.319587628866,1262.4742268041236,28.65979381443299
31,TS_5_4,apo-ferritin,6174.4131455399065,1283.2394366197184,202.4882629107981
32,TS_5_4,apo-ferritin,6071.693002257336,1488.510158013544,113.17155756207676
33,TS_5_4,apo-ferritin,1770.8227848101264,2799.620253164557,264.30379746835445
34,TS_5_4,apo-ferritin,1817.826086956522,2850.124223602484,379.5031055900621
35,TS_5_4,apo-ferritin,1732.948717948718,2486.9871794871797,357.1794871794872
36,TS_5_4,apo-ferritin,1719.1331923890064,2640.126849894292,440.5285412262157
37,TS_5_4,apo-ferritin,1713.6507936507937,2479.563492063492,777.8968253968254
38,TS_5_4,apo-ferritin,2110.531561461794,2639.6013289036546,461.19601328903656
39,TS_5_4,apo-ferritin,1997.8391959798996,2669.497487437186,475.52763819095475
40,TS_5_4,apo-ferritin,2075.992366412214,2496.7175572519086,433.7022900763359
41,TS_5_4,apo-ferritin,2282.136752136752,2311.025641025641,153.33333333333334
42,TS_5_4,apo-ferritin,2226.0804020100504,2314.070351758794,229.64824120603015
43,TS_5_4,apo-ferritin,2175.3846153846152,2353.5664335664337,372.0979020979021
44,TS_5_4,apo-ferritin,2392.710843373494,2180.5421686746986,148.55421686746988
45,TS_5_4,apo-ferritin,2547.3584905660377,2308.443396226415,89.2924528301887
46,TS_5_4,apo-ferritin,2717.28323699422,2144.566473988439,199.07514450867052
47,TS_5_4,apo-ferritin,2857.3770491803275,2376.3934426229507,80.0
48,TS_5_4,apo-ferritin,3955.4627949183305,1331.9056261343012,1558.6932849364791
49,TS_5_4,apo-ferritin,4067.3411764705884,1500.8235294117649,1556.5882352941176
50,TS_5_4,apo-ferritin,1040.6608969315498,2552.0377655389457,362.9583005507475
51,TS_5_4,apo-ferritin,1171.4027149321266,2535.633484162896,504.8076923076923
52,TS_5_4,apo-ferritin,2553.245614035088,259.64912280701753,55.26315789473684
53,TS_5_4,apo-ferritin,2378.4883720930234,109.74806201550388,182.90697674418607
54,TS_5_4,apo-ferritin,2031.4285714285713,1424.3956043956043,39.78021978021978
55,TS_5_4,apo-ferritin,1871.118881118881,1485.1048951048951,108.95104895104895
56,TS_5_4,apo-ferritin,4583.767441860465,3173.7674418604647,666.5116279069766
57,TS_5_4,apo-ferritin,4602.413793103448,3247.2413793103447,712.2988505747127
58,TS_5_4,apo-ferritin,5882.328767123288,2931.095890410959,71.36986301369862
59,TS_5_4,apo-ferritin,5918.297872340426,2989.5390070921985,145.2482269503546
60,TS_5_4,apo-ferritin,6013.191489361702,3066.702127659574,47.6063829787234
61,TS_5_4,apo-ferritin,6023.668341708543,3194.4723618090447,66.03015075376885
62,TS_5_4,apo-ferritin,6137.597402597403,3123.4415584415588,45.97402597402598
63,TS_5_4,apo-ferritin,6079.543147208122,3050.7106598984774,509.6446700507614
64,TS_5_4,apo-ferritin,6262.698412698413,3127.777777777778,929.6825396825396
65,TS_5_4,apo-ferritin,3504.9171270718234,4924.309392265193,162.707182320442
66,TS_5_4,apo-ferritin,3595.6324900133154,4916.750998668442,390.31957390146476
67,TS_5_4,apo-ferritin,5676.972111553785,4851.593625498008,1398.5258964143427
68,TS_5_4,apo-ferritin,5639.224806201551,4861.3178294573645,1722.1963824289405
69,TS_5_4,apo-ferritin,5656.659751037345,5220.331950207469,1750.7676348547718
70,TS_5_4,apo-ferritin,5744.661654135339,5112.481203007519,1755.9398496240601
71,TS_5_4,apo-ferritin,5836.451612903225,4956.290322580645,1783.3870967741937
72,TS_5_4,apo-ferritin,5876.915887850468,4801.588785046729,1794.392523364486
